ï»¿Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Unit Cost,Total Cost (Current),Average Age
Air Algerie,Air Algerie,Boeing 737,31.0,1.0,38.0,70.0,74.0,2.293,8.6
Air Algerie,Air Algerie,Boeing 747,,,14.0,14.0,316.0,0.0,
Air Algerie,Air Algerie,Boeing 767,2.0,,7.0,9.0,187.0,374.0,26.3
Air Algerie,Air Algerie,Boeing 777,,,2.0,2.0,295.0,0.0,
Air Algerie,Air Algerie,Boeing 787,,,,,265.0,0.0,
Air Algerie,Air Algerie,McDonnell Douglas DC-10,,,2.0,2.0,145.0,0.0,
Air Algerie,Air Algerie,McDonnell Douglas DC-8,,,24.0,24.0,6.0,0.0,
Air Arabia,Air Arabia,Airbus A320,38.0,,28.0,66.0,98.0,3.724,2.9
Air Arabia,Air Arabia Egypt,Airbus A320,1.0,,2.0,3.0,98.0,98.0,9.6
Air Arabia,Air Arabia Jordan,Airbus A320,2.0,,1.0,3.0,98.0,196.0,10.0
Air Arabia,Air Arabia Maroc,Airbus A320,5.0,,5.0,10.0,98.0,490.0,4.4
Air Astana,Air Astana,Airbus A319,1.0,,,1.0,90.0,90.0,8.4
Air Astana,Air Astana,Airbus A320,9.0,,6.0,15.0,98.0,882.0,3.6
Air Astana,Air Astana,Airbus A321,4.0,,,4.0,115.0,460.0,10.6
Air Astana,Air Astana,Boeing 737,,,4.0,4.0,74.0,0.0,
Air Astana,Air Astana,Boeing 757,5.0,,,5.0,73.0,363.0,19.5
Air Astana,Air Astana,Boeing 767,3.0,,2.0,5.0,187.0,561.0,3.0
Air Astana,Air Astana,Boeing 787,,,,,265.0,0.0,
Air Astana,Air Astana,Embraer ERJ-190,9.0,,,9.0,46.0,416.0,4.5
Air Astana,Air Astana,Fokker F50 / F60,,,6.0,6.0,18.0,0.0,
Air Berlin,Air Berlin,Airbus A319,6.0,,15.0,21.0,90.0,538.0,8.5
Air Berlin,Air Berlin,Airbus A320,54.0,7.0,50.0,111.0,98.0,5.292,7.6
Air Berlin,Air Berlin,Airbus A321,21.0,,2.0,23.0,115.0,2.413,6.0
Air Berlin,Air Berlin,Airbus A330,15.0,2.0,3.0,20.0,240.0,3.6,13.1
Air Berlin,Air Berlin,ATR 42/72,,,1.0,1.0,22.0,0.0,
Air Berlin,Air Berlin,Boeing 737,14.0,,141.0,155.0,74.0,1.036,9.5
Air Berlin,Air Berlin,Boeing 757,,,4.0,4.0,73.0,0.0,
Air Berlin,Air Berlin,British Aerospace BAe 146/Avro RJ,,,4.0,4.0,14.0,0.0,
Air Berlin,Air Berlin,De Havilland Canada DHC-8 Dash 8,20.0,,,20.0,31.0,626.0,7.4
Air Berlin,Air Berlin,Embraer ERJ-190,,,3.0,3.0,46.0,0.0,
Air Berlin,Air Berlin,Fokker F70 / F100,,,18.0,18.0,20.0,0.0,
Air Berlin,Air Berlin,McDonnell Douglas MD-80,,,1.0,1.0,45.0,0.0,
Air Canada,Air Canada,Airbus A319,15.0,,33.0,48.0,90.0,1.344,18.9
Air Canada,Air Canada Jetz,Airbus A319,3.0,,2.0,5.0,90.0,269.0,18.7
Air Canada,Air Canada Rouge,Airbus A319,20.0,,,20.0,90.0,1.792,18.6
Air Canada,Air Canada,Airbus A320,42.0,,13.0,55.0,98.0,4.116,23.3
Air Canada,Air Canada Jetz,Airbus A320,,,5.0,5.0,,0.0,
Air Canada,Air Canada,Airbus A321,15.0,,3.0,18.0,115.0,1.724,13.7
Air Canada,Air Canada Rouge,Airbus A321,5.0,,,5.0,115.0,575.0,1.0
Air Canada,Air Canada,Airbus A330,8.0,,,8.0,240.0,1.92,16.3
Air Canada,Air Canada,Airbus A340,,,15.0,15.0,216.0,0.0,
Air Canada,Air Canada,Boeing 727,,,28.0,28.0,4.0,0.0,
Air Canada,Air Canada,Boeing 737,,,44.0,44.0,74.0,0.0,
Air Canada,Air Canada Jetz,Boeing 737,,,2.0,2.0,74.0,0.0,
Air Canada,Air Canada,Boeing 747,,,15.0,15.0,316.0,0.0,
Air Canada,Air Canada,Boeing 767,15.0,,48.0,63.0,187.0,2.804,25.8
Air Canada,Air Canada Rouge,Boeing 767,19.0,,,19.0,187.0,3.551,18.6
Air Canada,Air Canada,Boeing 777,25.0,,,25.0,295.0,7.364,7.1
Air Canada,Air Canada,Boeing 787 Dreamliner,21.0,3.0,,24.0,265.0,5.567,1.4
Air Canada,Air Canada,Bombardier CS300,,,,,72.0,0.0,
Air Canada,Air Canada,Canadair CRJ-100 Series,,,26.0,26.0,32.0,0.0,
Air Canada,Air Canada Regional,Canadair CRJ-100 Series,1.0,,,1.0,32.0,32.0,18.2
Air Canada,Air Canada,Embraer ERJ-170,,,15.0,15.0,39.0,0.0,
Air Canada,Air Canada,Embraer ERJ-190,25.0,,20.0,45.0,46.0,1.155,9.5
Air Canada,Air Canada,McDonnell Douglas DC-8,,,43.0,43.0,6.0,0.0,
Air Canada,Air Canada,McDonnell Douglas DC-9,,,64.0,64.0,45.0,0.0,
Air China,Air Macau (66.9%),Airbus A300,,,8.0,8.0,75.0,0.0,
Air China,Air China,Airbus A319,33.0,,3.0,36.0,90.0,2.957,10.5
Air China,Shenzhen Airlines,Airbus A319,5.0,,,5.0,90.0,448.0,10.5
Air China,Air Macau (66.9%),Airbus A319,4.0,,1.0,5.0,90.0,358.0,14.1
Air China,Air China,Airbus A320,43.0,2.0,5.0,50.0,98.0,4.214,4.6
Air China,Shenzhen Airlines,Airbus A320,79.0,1.0,1.0,81.0,98.0,7.742,5.3
Air China,Air Macau (66.9%),Airbus A320,3.0,,4.0,7.0,98.0,294.0,3.9
Air China,Air China,Airbus A321,55.0,3.0,,58.0,115.0,6.32,5.3
Air China,Air Macau (66.9%),Airbus A321,10.0,,5.0,15.0,115.0,1.149,6.1
Air China,Air China,Airbus A330,54.0,1.0,,55.0,240.0,12.96,5.8
Air China,Shenzhen Airlines,Airbus A330,,,,,240.0,0.0,
Air China,Air China,Airbus A340,,,6.0,6.0,216.0,0.0,
Air China,Air China,Airbus A350 XWB,,1.0,,1.0,312.0,0.0,
Air China,Air China,Boeing 737,144.0,1.0,75.0,220.0,74.0,10.653,6.6
Air China,Shenzhen Airlines,Boeing 737,87.0,,22.0,109.0,74.0,6.436,6.5
Air China,Shandong Airlines (51%),Boeing 737,98.0,1.0,16.0,115.0,74.0,7.25,4.7
Air China,Air China Inner Mongolia,Boeing 737,3.0,,,3.0,74.0,222.0,9.1
Air China,Kunming Airlines (80%),Boeing 737,18.0,,2.0,20.0,74.0,1.332,4.7
Air China,Dalian Airlines (80%),Boeing 737,9.0,,,9.0,74.0,666.0,4.5
Air China,Air China,Boeing 747,10.0,,18.0,28.0,316.0,3.158,7.5
Air China,Air China Cargo,Boeing 747,3.0,,12.0,15.0,316.0,947.0,14.5
Air China,Air China,Boeing 757,,,13.0,13.0,73.0,0.0,
Air China,Air Macau (66.9%),Boeing 757,,,1.0,1.0,73.0,0.0,
Air China,Air China Cargo,Boeing 757,4.0,,,4.0,73.0,290.0,20.4
Air China,Air China,Boeing 767,,,15.0,15.0,187.0,0.0,
Air China,Air China,Boeing 777,29.0,,4.0,33.0,295.0,8.542,6.2
Air China,Air China Cargo,Boeing 777,8.0,,,8.0,295.0,2.356,2.3
Air China,Air China,Boeing 787 Dreamliner,7.0,1.0,,8.0,265.0,1.856,0.4
Air China,Air China,British Aerospace BAe 146/Avro RJ,,,4.0,4.0,14.0,0.0,
Air China,Shandong Airlines (51%),Canadair CRJ-100 Series,,,12.0,12.0,32.0,0.0,
Air China,Shandong Airlines (51%),Canadair CRJ-700,2.0,,,2.0,41.0,82.0,13.3
Air China,Shandong Airlines (51%),Comac ARJ21,,,,,30.0,0.0,
Air China,Air China,COMAC C919,,,,,68.0,0.0,
Air China,Shandong Airlines (51%),Saab 340,,,1.0,1.0,8.0,0.0,
Air China,Air China Cargo,Tupolev Tu-204,,,1.0,1.0,16.0,0.0,
Air Europa,Air Europa,Airbus A330,15.0,,2.0,17.0,240.0,3.6,10.4
Air Europa,Air Europa,Airbus A340,,,1.0,1.0,216.0,0.0,
Air Europa,Air Europa,ATR 42/72,4.0,,6.0,10.0,22.0,88.0,21.9
Air Europa,Air Europa,Boeing 737,21.0,,67.0,88.0,74.0,1.554,8.0
Air Europa,Air Europa,Boeing 757,,,16.0,16.0,73.0,0.0,
Air Europa,Air Europa,Boeing 767,,,7.0,7.0,187.0,0.0,
Air Europa,Air Europa,Boeing 787 Dreamliner,3.0,4.0,1.0,8.0,265.0,795.0,0.5
Air Europa,Air Europa,Embraer ERJ-145,1.0,,,1.0,20.0,20.0,16.9
Air Europa,Air Europa,Embraer ERJ-190,7.0,,4.0,11.0,46.0,323.0,6.2
Air Europa,Air Europa,McDonnell Douglas MD-80,,,1.0,1.0,45.0,0.0,
Air France/KLM,Air France,AÃ©rospatiale/BAC Concorde,,,7.0,7.0,29.0,0.0,
Air France/KLM,Air France,Airbus A300,,,25.0,25.0,75.0,0.0,
Air France/KLM,Air France,Airbus A310,,,11.0,11.0,75.0,0.0,
Air France/KLM,Martinair,Airbus A310,,,2.0,2.0,75.0,0.0,
Air France/KLM,Air France,Airbus A318,18.0,,,18.0,66.0,1.193,11.6
Air France/KLM,Air France,Airbus A319,38.0,,11.0,49.0,90.0,3.405,16.2
Air France/KLM,Air France,Airbus A320,43.0,,63.0,106.0,98.0,4.214,9.2
Air France/KLM,Transavia France,Airbus A320,,,4.0,4.0,98.0,0.0,
Air France/KLM,Martinair,Airbus A320,,,7.0,7.0,98.0,0.0,
Air France/KLM,Air France,Airbus A321,20.0,,10.0,30.0,115.0,2.298,14.1
Air France/KLM,Air France,Airbus A330,15.0,,1.0,16.0,240.0,3.6,14.1
Air France/KLM,Air France,Airbus A340,11.0,,19.0,30.0,216.0,2.371,18.3
Air France/KLM,Air France,Airbus A350-900,,,,,308.0,0.0,
Air France/KLM,Air France,Airbus A380,10.0,,,10.0,433.0,4.326,5.9
Air France/KLM,Air France,Boeing 727,,,5.0,5.0,4.0,0.0,
Air France/KLM,Air France,Boeing 737,,,63.0,63.0,74.0,0.0,
Air France/KLM,Transavia France,Boeing 737,26.0,,,26.0,74.0,1.923,5.5
Air France/KLM,Martinair,Boeing 737,,,3.0,3.0,74.0,0.0,
Air France/KLM,Air France,Boeing 747,,,73.0,73.0,316.0,0.0,
Air France/KLM,Martinair,Boeing 747,1.0,,8.0,9.0,316.0,316.0,26.6
Air France/KLM,Martinair,Boeing 757,,,2.0,2.0,73.0,0.0,
Air France/KLM,Air France,Boeing 767,,,9.0,9.0,187.0,0.0,
Air France/KLM,Martinair,Boeing 767,,,8.0,8.0,187.0,0.0,
Air France/KLM,Air France,Boeing 777,70.0,,1.0,71.0,295.0,20.619,11.2
Air France/KLM,Air France,Boeing 787 Dreamliner,1.0,,,1.0,265.0,265.0,0.1
Air France/KLM,Air France,British Aerospace BAe 146/Avro RJ,,,3.0,3.0,14.0,0.0,
Air France/KLM,KLM Cityhopper,Embraer ERJ-170,4.0,,,4.0,39.0,155.0,0.5
Air France/KLM,KLM Cityhopper,Embraer ERJ-190,30.0,,,30.0,46.0,1.386,5.5
Air France/KLM,KLM Cityhopper,Fokker F50 / F60,,,23.0,23.0,18.0,0.0,
Air France/KLM,Air France,Fokker F70 / F100,,,5.0,5.0,20.0,0.0,
Air France/KLM,KLM Cityhopper,Fokker F70 / F100,13.0,,35.0,48.0,20.0,260.0,20.8
Air France/KLM,Air France,McDonnell Douglas DC-10,,,5.0,5.0,145.0,0.0,
Air France/KLM,Martinair,McDonnell Douglas DC-10,,,5.0,5.0,145.0,0.0,
Air France/KLM,Air France,McDonnell Douglas DC-8,,,1.0,1.0,6.0,0.0,
Air France/KLM,Martinair,McDonnell Douglas DC-8,,,6.0,6.0,6.0,0.0,
Air France/KLM,Martinair,McDonnell Douglas DC-9,,,4.0,4.0,45.0,0.0,
Air France/KLM,Martinair,McDonnell Douglas MD-11,,,7.0,7.0,175.0,0.0,
Air France/KLM,Martinair,McDonnell Douglas MD-80,,,3.0,3.0,45.0,0.0,
Air France/KLM,KLM Cityhopper,Saab 340,,,1.0,1.0,8.0,0.0,
Air India,Air India Regional,ATR 42/72,12.0,,3.0,15.0,22.0,265.0,8.4
Air India,Air India Express,Boeing 737,23.0,,8.0,31.0,74.0,1.702,6.7
Air India,Air India Regional,Boeing 737,,,1.0,1.0,74.0,0.0,
Air India,Air India Regional,Canadair CRJ-700,3.0,,1.0,4.0,41.0,123.0,13.7
Air Malta,Air Malta,Airbus A319,3.0,,,3.0,,,
Air Malta,Air Malta,Airbus A320,6.0,,,6.0,,,
Air Mauritius,Air Mauritius,ATR 42/72,3.0,,6.0,9.0,,,9.1
Air Mauritius,Air Mauritius,Airbus A319,2.0,,,2.0,,,14.6
Air Mauritius,Air Mauritius,Airbus A330,2.0,,,2.0,,,8.3
Air Mauritius,Air Mauritius,Airbus A340,6.0,,3.0,9.0,,,16.7
Air Mauritius,Air Mauritius,Airbus A350 XWB,,1.0,,1.0,,,
Air Mauritius,Air Mauritius,Boeing 747,,,5.0,5.0,,,
Air Mauritius,Air Mauritius,Boeing 767,,,3.0,3.0,,,
Air Namibia,Air Namibia,Airbus A319,4.0,,1.0,5.0,,,6.5
Air Namibia,Air Namibia,Airbus A330,2.0,,,2.0,,,3.4
Air Namibia,Air Namibia,Airbus A340,,,2.0,2.0,,,
Air Namibia,Air Namibia,Boeing 737,,,12.0,12.0,,,
Air Namibia,Air Namibia,Boeing 747,,,6.0,6.0,,,
Air Namibia,Air Namibia,Boeing 767,,,1.0,1.0,,,
Air Namibia,Air Namibia,De Havilland Canada DHC-8 Dash 8,,,1.0,1.0,,,
Air Namibia,Air Namibia,Embraer ERJ-145,4.0,,,4.0,,,16.6
Air Namibia,Air Namibia,McDonnell Douglas MD-11,,,2.0,2.0,,,
Air New Zealand,Air New Zealand,Airbus A320,30.0,,,30.0,98.0,2.94,7.0
Air New Zealand,Air New Zealand,Airbus A321,,,,,115.0,0.0,
Air New Zealand,Air New Zealand Link,ATR 42/72,26.0,,8.0,34.0,22.0,575.0,7.8
Air New Zealand,Air New Zealand,Boeing 737,,,51.0,51.0,74.0,0.0,
Air New Zealand,Air New Zealand,Boeing 747,,,15.0,15.0,316.0,0.0,
Air New Zealand,Air New Zealand,Boeing 767,2.0,,21.0,23.0,187.0,374.0,22.8
Air New Zealand,Air New Zealand,Boeing 777,15.0,,,15.0,295.0,4.418,7.9
Air New Zealand,Air New Zealand,Boeing 787 Dreamliner,9.0,1.0,,10.0,265.0,2.386,1.7
Air New Zealand,Air New Zealand Link,Bombardier Q300,23.0,,,23.0,31.0,720.0,10.2
Air New Zealand,Air New Zealand Link,British Aerospace BAe 146/Avro RJ,,,8.0,8.0,14.0,0.0,
Air New Zealand,Air New Zealand,McDonnell Douglas DC-10,,,8.0,8.0,145.0,0.0,
Air New Zealand,Air New Zealand,McDonnell Douglas DC-8,,,8.0,8.0,6.0,0.0,
Air Transat,Air Transat,Airbus A310,9.0,,5.0,14.0,75.0,675.0,26.4
Air Transat,Air Transat,Airbus A320,,,2.0,2.0,98.0,0.0,
Air Transat,Air Transat,Airbus A330,14.0,,,14.0,240.0,3.36,15.8
Air Transat,Air Transat,Boeing 727,,,1.0,1.0,4.0,0.0,
Air Transat,Air Transat,Boeing 737,18.0,,7.0,25.0,74.0,1.332,10.9
Air Transat,Air Transat,Boeing 757,,,9.0,9.0,73.0,0.0,
Air Wisconsin,Air Wisconsin,British Aerospace BAe 146/Avro RJ,,,26.0,26.0,14.0,0.0,
Air Wisconsin,Air Wisconsin,British Aerospace BAe ATP,,,10.0,10.0,14.0,0.0,
Air Wisconsin,Air Wisconsin,Canadair CRJ-100 Series,66.0,,5.0,71.0,32.0,2.102,14.4
Air Wisconsin,Air Wisconsin,De Havilland Canada DHC-8 Dash 8,,,12.0,12.0,7.0,0.0,
Air Wisconsin,Air Wisconsin,Dornier Do-328,,,23.0,23.0,8.0,0.0,
AirAsia,AirAsia,Airbus A320,77.0,,30.0,107.0,98.0,7.546,6.2
AirAsia,AirAsia India,Airbus A320,8.0,,,8.0,98.0,784.0,6.6
AirAsia,AirAsia Japan,Airbus A320,2.0,,5.0,7.0,98.0,196.0,1.1
AirAsia,Thai AirAsia,Airbus A320,50.0,2.0,,52.0,98.0,4.9,5.0
AirAsia,Indonesia AirAsia,Airbus A320,17.0,,17.0,34.0,98.0,1.666,6.0
AirAsia,Indonesia AirAsia X,Airbus A320,5.0,,,5.0,98.0,490.0,7.6
AirAsia,Philippines AirAsia,Airbus A320,15.0,,,,98.0,1.47,
AirAsia,AirAsia,Airbus A321,,,,,115.0,0.0,
AirAsia,AirAsia X,Airbus A330,22.0,,8.0,30.0,240.0,5.28,4.0
AirAsia,Thai AirAsia X,Airbus A330,6.0,,,6.0,240.0,1.44,7.8
AirAsia,Indonesia AirAsia X,Airbus A330,2.0,,,2.0,240.0,480.0,11.4
AirAsia,AirAsia X,Airbus A340,,,2.0,2.0,216.0,0.0,
AirAsia,AirAsia X,Airbus A350,,,,,312.0,0.0,
AirAsia,AirAsia,Boeing 737,,,32.0,32.0,74.0,0.0,
AirAsia,Thai AirAsia,Boeing 737,,,14.0,14.0,74.0,0.0,
AirAsia,Indonesia AirAsia,Boeing 737,,,12.0,12.0,74.0,0.0,
AirAsia,AirAsia,Boeing 747,,,3.0,3.0,316.0,0.0,
AirAsia,AirAsia,McDonnell Douglas MD-11,,,1.0,1.0,175.0,0.0,
Alaska Airlines,Alaska Airlines,Boeing 737,157.0,2.0,39.0,198.0,74.0,11.615,9.0
Alaska Airlines,Alaska Airlines,Canadair CRJ-700,1.0,,7.0,8.0,41.0,41.0,15.2
Alaska Airlines,Horizon Air,Canadair CRJ-700,,,21.0,21.0,41.0,0.0,
Alaska Airlines,Horizon Air,De Havilland Canada DHC-8 Dash 8,52.0,,56.0,108.0,31.0,1.628,10.2
Alaska Airlines,Horizon Air,Dornier Do-328,,,12.0,12.0,8.0,0.0,
Alaska Airlines,Horizon Air,Embraer E175,,,,,39.0,0.0,
Alaska Airlines,Alaska Airlines,Embraer ERJ-170,15.0,,,15.0,39.0,581.0,0.8
Alaska Airlines,Alaska Airlines,McDonnell Douglas MD-80,,,48.0,48.0,45.0,,
Alitalia,Alitalia,Airbus A300,,,14.0,14.0,75.0,0.0,
Alitalia,Alitalia,Airbus A319,22.0,,,22.0,90.0,1.971,9.7
Alitalia,Alitalia,Airbus A320,44.0,,10.0,54.0,98.0,4.312,9.9
Alitalia,Alitalia,Airbus A321,12.0,,11.0,23.0,115.0,1.379,19.4
Alitalia,Alitalia,Airbus A330,14.0,,,14.0,240.0,3.36,7.6
Alitalia,Alitalia,ATR 42/72,,,14.0,14.0,22.0,0.0,
Alitalia,Alitalia,Boeing 737,,,2.0,2.0,74.0,0.0,
Alitalia,Alitalia,Boeing 747,,,21.0,21.0,316.0,0.0,
Alitalia,Alitalia,Boeing 767,,,14.0,14.0,187.0,0.0,
Alitalia,Alitalia,Boeing 777,11.0,,,11.0,295.0,3.24,13.6
Alitalia,Alitalia Cityliner,Canadair CRJ-900,,,10.0,10.0,46.0,0.0,
Alitalia,Alitalia Cityliner,Embraer ERJ-170,15.0,,,15.0,39.0,581.0,4.6
Alitalia,Alitalia Cityliner,Embraer ERJ-190,5.0,,,5.0,46.0,231.0,5.0
Alitalia,Alitalia,McDonnell Douglas DC-10,,,8.0,8.0,145.0,0.0,
Alitalia,Alitalia,McDonnell Douglas DC-8,,,27.0,27.0,6.0,0.0,
Alitalia,Alitalia,McDonnell Douglas DC-9,,,46.0,46.0,45.0,0.0,
Alitalia,Alitalia,McDonnell Douglas MD-11,,,8.0,8.0,175.0,0.0,
Alitalia,Alitalia,McDonnell Douglas MD-80,,,90.0,90.0,45.0,0.0,
All Nippon Airways,Vanilla Air,Airbus A320,10.0,2.0,3.0,15.0,98.0,980.0,2.0
All Nippon Airways,ANA Wings,Boeing 737,18.0,,7.0,25.0,74.0,1.332,19.6
All Nippon Airways,ANA Wings,De Havilland Canada DHC-8 Dash 8,21.0,,5.0,26.0,31.0,657.0,9.3
All Nippon Airways,ANA Wings,Mitsubishi MRJ90,,,,,47.0,0.0,
All Nippon Airways,All Nippon Airways,Airbus A320,10.0,3.0,23.0,36.0,98.0,980.0,21.2
All Nippon Airways,All Nippon Airways,Airbus A321,2.0,2.0,7.0,11.0,115.0,230.0,0.1
All Nippon Airways,All Nippon Airways,Airbus A380,,,,,433.0,0.0,
All Nippon Airways,All Nippon Airways,Boeing 737,43.0,,44.0,87.0,74.0,3.181,5.5
All Nippon Airways,All Nippon Airways,Boeing 747,,,46.0,46.0,316.0,0.0,
All Nippon Airways,All Nippon Airways,Boeing 767,49.0,,50.0,99.0,187.0,9.158,15.7
All Nippon Airways,All Nippon Airways,Boeing 777,55.0,,2.0,57.0,295.0,16.2,12.0
All Nippon Airways,All Nippon Airways,Boeing 787 Dreamliner,56.0,3.0,,59.0,265.0,14.846,2.6
All Nippon Airways,All Nippon Airways,Mitsubishi MRJ90,,,,,47.0,0.0,
Allegiant Air,Allegiant Air,Airbus A319,17.0,6.0,,23.0,90.0,1.523,11.5
Allegiant Air,Allegiant Air,Airbus A320,16.0,,,16.0,98.0,1.568,17.1
Allegiant Air,Allegiant Air,Boeing 757,4.0,,2.0,6.0,73.0,290.0,23.6
Allegiant Air,Allegiant Air,McDonnell Douglas DC-9,,,3.0,3.0,45.0,0.0,
Allegiant Air,Allegiant Air,McDonnell Douglas MD-80,48.0,,13.0,61.0,45.0,2.16,26.9
American Airlines,American Airlines,Airbus A300,,,35.0,35.0,75.0,0.0,
American Airlines,American Airlines,Airbus A319,125.0,,,125.0,90.0,11.2,12.8
American Airlines,American Airlines,Airbus A320,51.0,,17.0,68.0,98.0,4.998,15.5
American Airlines,American Airlines,Airbus A321,197.0,12.0,,209.0,115.0,22.635,4.9
American Airlines,American Airlines,Airbus A330,24.0,,,24.0,240.0,5.76,9.3
American Airlines,American Airlines,Airbus A350 XWB,,1.0,,1.0,312.0,0.0,
American Airlines,American Eagle,ATR 42/72,,,70.0,70.0,22.0,0.0,
American Airlines,American Airlines,Boeing 717,,,29.0,29.0,37.0,0.0,
American Airlines,American Airlines,Boeing 737,282.0,4.0,46.0,332.0,74.0,20.862,7.7
American Airlines,American Airlines,Boeing 747,,,19.0,19.0,316.0,0.0,
American Airlines,American Airlines,Boeing 757,51.0,,126.0,177.0,73.0,3.698,17.9
American Airlines,American Airlines,Boeing 767,33.0,,74.0,107.0,187.0,6.168,19.9
American Airlines,American Airlines,Boeing 777,67.0,,,67.0,295.0,19.735,12.1
American Airlines,American Airlines,Boeing 787 Dreamliner,20.0,6.0,,26.0,265.0,5.302,1.2
American Airlines,American Airlines,British Aerospace BAe 146/Avro RJ,,,8.0,8.0,14.0,0.0,
American Airlines,PSA Airlines,Canadair CRJ-100 Series,35.0,,,35.0,32.0,1.115,12.8
American Airlines,PSA Airlines,Canadair CRJ-700,26.0,35.0,,61.0,41.0,1.066,12.2
American Airlines,American Eagle,Canadair CRJ-700,45.0,,12.0,57.0,41.0,1.845,10.1
American Airlines,PSA Airlines,Canadair CRJ-900,54.0,,,54.0,46.0,2.484,1.5
American Airlines,American Eagle,Canadair CRJ-900,61.0,,,61.0,46.0,2.806,1.5
American Airlines,Piedmont Airlines,De Havilland Canada DHC-8 Dash 8,34.0,,75.0,109.0,31.0,1.064,26.1
American Airlines,PSA Airlines,Dornier Do-328,,,28.0,28.0,8.0,0.0,
American Airlines,American Eagle,Embraer ERJ-145,97.0,,120.0,217.0,20.0,1.901,14.0
American Airlines,Piedmont Airlines,Embraer ERJ-145,10.0,,,10.0,20.0,196.0,17.7
American Airlines,American Eagle,Embraer ERJ-170,94.0,2.0,,96.0,39.0,3.638,1.9
American Airlines,Envoy Air,Embraer ERJ-170,26.0,2.0,,28.0,39.0,1.006,0.6
American Airlines,American Airlines,Embraer ERJ-190,20.0,,,20.0,46.0,924.0,9.1
American Airlines,American Airlines,Fokker F70 / F100,,,75.0,75.0,20.0,0.0,
American Airlines,American Airlines,McDonnell Douglas DC-10,,,66.0,66.0,145.0,0.0,
American Airlines,American Airlines,McDonnell Douglas DC-8,,,6.0,6.0,6.0,0.0,
American Airlines,American Airlines,McDonnell Douglas MD-11,,,19.0,19.0,175.0,0.0,
American Airlines,American Airlines,McDonnell Douglas MD-80,58.0,,325.0,383.0,45.0,2.61,22.2
American Airlines,American Airlines,McDonnell Douglas MD-90,,,5.0,5.0,45.0,0.0,
American Airlines,American Eagle,Saab 340,,,52.0,52.0,8.0,0.0,
Asiana Airlines,Asiana Airlines,Airbus A320,7.0,,4.0,11.0,98.0,686.0,9.3
Asiana Airlines,Air Busan,Airbus A320,6.0,,,6.0,98.0,588.0,10.9
