Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Unit Cost,Total Cost (Current),Average Age
Air Canada,Air Canada,Boeing 727,,,28,28,$4,$0,
Air Canada,Air Canada,Boeing 737,,,44,44,$74,$0,
Air Canada,Air Canada Jetz,Boeing 737,,,2,2,$74,$0,
Air Canada,Air Canada,Boeing 747,,,15,15,$316,$0,
Air Canada,Air Canada,Boeing 767,15,,48,63,$187,"$2,804",25.8
Air Canada,Air Canada Rouge,Boeing 767,19,,,19,$187,"$3,551",18.6
Air Canada,Air Canada,Boeing 777,25,,,25,$295,"$7,364",7.1
Air Canada,Air Canada,Bombardier CS300,,,,,$72,$0,
Air China,Air Macau (66.9%),Airbus A300,,,8,8,$75,$0,
Air China,Air China,Airbus A319,33,,3,36,$90,"$2,957",10.5
Air China,Shenzhen Airlines,Airbus A319,5,,,5,$90,$448,10.5
Air China,Air Macau (66.9%),Airbus A319,4,,1,5,$90,$358,14.1
Air China,Air China,Airbus A320,43,2,5,50,$98,"$4,214",4.6
Air China,Shenzhen Airlines,Airbus A320,79,1,1,81,$98,"$7,742",5.3
Air China,Air Macau (66.9%),Airbus A320,3,,4,7,$98,$294,3.9
Air China,Air China,Airbus A321,55,3,,58,$115,"$6,320",5.3
Air China,Air Macau (66.9%),Airbus A321,10,,5,15,$115,"$1,149",6.1
Air China,Air China,Airbus A330,54,1,,55,$240,"$12,960",5.8
Air China,Shenzhen Airlines,Airbus A330,,,,,$240,$0,
Air China,Air China,Airbus A340,,,6,6,$216,$0,
Air China,Air China,Boeing 737,144,1,75,220,$74,"$10,653",6.6
Air China,Shenzhen Airlines,Boeing 737,87,,22,109,$74,"$6,436",6.5
Air China,Shandong Airlines (51%),Boeing 737,98,1,16,115,$74,"$7,250",4.7
Air China,Air China Inner Mongolia,Boeing 737,3,,,3,$74,$222,9.1
Air China,Kunming Airlines (80%),Boeing 737,18,,2,20,$74,"$1,332",4.7
Air China,Dalian Airlines (80%),Boeing 737,9,,,9,$74,$666,4.5
Air China,Air China,Boeing 747,10,,18,28,$316,"$3,158",7.5
Air China,Air China Cargo,Boeing 747,3,,12,15,$316,$947,14.5
Air China,Air China,Boeing 757,,,13,13,$73,$0,
Air China,Air Macau (66.9%),Boeing 757,,,1,1,$73,$0,
Air China,Air China Cargo,Boeing 757,4,,,4,$73,$290,20.4
Air China,Air China,Boeing 767,,,15,15,$187,$0,
Air China,Air China,Boeing 777,29,,4,33,$295,"$8,542",6.2
Air China,Air China Cargo,Boeing 777,8,,,8,$295,"$2,356",2.3
Air China,Air China Cargo,Tupolev Tu-204,,,1,1,$16,$0,
Air Europa,Air Europa,Airbus A330,15,,2,17,$240,"$3,600",10.4
Air Europa,Air Europa,Airbus A340,,,1,1,$216,$0,
Air Europa,Air Europa,Boeing 737,21,,67,88,$74,"$1,554",8
Air Europa,Air Europa,Boeing 757,,,16,16,$73,$0,
Air Europa,Air Europa,Boeing 767,,,7,7,$187,$0,
Air France/KLM,Air France,Airbus A300,,,25,25,$75,$0,
Air France/KLM,Air France,Airbus A310,,,11,11,$75,$0,
Air France/KLM,Martinair,Airbus A310,,,2,2,$75,$0,
Air France/KLM,Air France,Airbus A318,18,,,18,$66,"$1,193",11.6
Air France/KLM,Air France,Airbus A319,38,,11,49,$90,"$3,405",16.2
Air France/KLM,Air France,Airbus A320,43,,63,106,$98,"$4,214",9.2
Air France/KLM,Transavia France,Airbus A320,,,4,4,$98,$0,
Air France/KLM,Martinair,Airbus A320,,,7,7,$98,$0,
Air France/KLM,Air France,Airbus A321,20,,10,30,$115,"$2,298",14.1
Air France/KLM,Air France,Airbus A330,15,,1,16,$240,"$3,600",14.1
Air France/KLM,Air France,Airbus A340,11,,19,30,$216,"$2,371",18.3
Air France/KLM,Air France,Airbus A350-900,,,,,$308,$0,
Air France/KLM,Air France,Airbus A380,10,,,10,$433,"$4,326",5.9
Air France/KLM,Air France,Boeing 727,,,5,5,$4,$0,
Air France/KLM,Air France,Boeing 737,,,63,63,$74,$0,
Air France/KLM,Transavia France,Boeing 737,26,,,26,$74,"$1,923",5.5
Air France/KLM,Martinair,Boeing 737,,,3,3,$74,$0,
Air France/KLM,Air France,Boeing 747,,,73,73,$316,$0,
Air France/KLM,Martinair,Boeing 747,1,,8,9,$316,$316,26.6
Air France/KLM,Martinair,Boeing 757,,,2,2,$73,$0,
Air France/KLM,Air France,Boeing 767,,,9,9,$187,$0,
Air France/KLM,Martinair,Boeing 767,,,8,8,$187,$0,
Air France/KLM,Air France,Boeing 777,70,,1,71,$295,"$20,619",11.2
Air France/KLM,Martinair,McDonnell Douglas MD-11,,,7,7,$175,$0,
Air India,Air India Express,Boeing 737,23,,8,31,$74,"$1,702",6.7
Air India,Air India Regional,Boeing 737,,,1,1,$74,$0,
Air Malta,Air Malta,Airbus A319,3,,,3,,,
Air Malta,Air Malta,Airbus A320,6,,,6,,,
Air Mauritius,Air Mauritius,Airbus A319,2,,,2,,,14.6
Air Mauritius,Air Mauritius,Airbus A330,2,,,2,,,8.3
Air Mauritius,Air Mauritius,Airbus A340,6,,3,9,,,16.7
Air Mauritius,Air Mauritius,Boeing 747,,,5,5,,,
Air Mauritius,Air Mauritius,Boeing 767,,,3,3,,,
Air Namibia,Air Namibia,Airbus A319,4,,1,5,,,6.5
Air Namibia,Air Namibia,Airbus A330,2,,,2,,,3.4
Air Namibia,Air Namibia,Airbus A340,,,2,2,,,
Air Namibia,Air Namibia,Boeing 737,,,12,12,,,
Air Namibia,Air Namibia,Boeing 747,,,6,6,,,
Air Namibia,Air Namibia,Boeing 767,,,1,1,,,
Air Namibia,Air Namibia,McDonnell Douglas MD-11,,,2,2,,,
Air New Zealand,Air New Zealand,Airbus A320,30,,,30,$98,"$2,940",7
Air New Zealand,Air New Zealand,Airbus A321,,,,,$115,$0,
Air New Zealand,Air New Zealand,Boeing 737,,,51,51,$74,$0,
Air New Zealand,Air New Zealand,Boeing 747,,,15,15,$316,$0,
Air New Zealand,Air New Zealand,Boeing 767,2,,21,23,$187,$374,22.8
Air New Zealand,Air New Zealand,Boeing 777,15,,,15,$295,"$4,418",7.9
Air Transat,Air Transat,Airbus A310,9,,5,14,$75,$675,26.4
Air Transat,Air Transat,Airbus A320,,,2,2,$98,$0,
Air Transat,Air Transat,Airbus A330,14,,,14,$240,"$3,360",15.8
Air Transat,Air Transat,Boeing 727,,,1,1,$4,$0,
Air Transat,Air Transat,Boeing 737,18,,7,25,$74,"$1,332",10.9
Air Transat,Air Transat,Boeing 757,,,9,9,$73,$0,
AirAsia,AirAsia,Airbus A320,77,,30,107,$98,"$7,546",6.2
AirAsia,AirAsia India,Airbus A320,8,,,8,$98,$784,6.6
AirAsia,AirAsia Japan,Airbus A320,2,,5,7,$98,$196,1.1
AirAsia,Thai AirAsia,Airbus A320,50,2,,52,$98,"$4,900",5
AirAsia,Indonesia AirAsia,Airbus A320,17,,17,34,$98,"$1,666",6
AirAsia,Indonesia AirAsia X,Airbus A320,5,,,5,$98,$490,7.6
AirAsia,Philippines AirAsia,Airbus A320,15,,,,$98,"$1,470",
AirAsia,AirAsia,Airbus A321,,,,,$115,$0,
AirAsia,AirAsia X,Airbus A330,22,,8,30,$240,"$5,280",4
AirAsia,Thai AirAsia X,Airbus A330,6,,,6,$240,"$1,440",7.8
AirAsia,Indonesia AirAsia X,Airbus A330,2,,,2,$240,$480,11.4
AirAsia,AirAsia X,Airbus A340,,,2,2,$216,$0,
AirAsia,AirAsia X,Airbus A350,,,,,$312,$0,
AirAsia,AirAsia,Boeing 737,,,32,32,$74,$0,
AirAsia,Thai AirAsia,Boeing 737,,,14,14,$74,$0,
AirAsia,Indonesia AirAsia,Boeing 737,,,12,12,$74,$0,
AirAsia,AirAsia,Boeing 747,,,3,3,$316,$0,
AirAsia,AirAsia,McDonnell Douglas MD-11,,,1,1,$175,$0,
Alaska Airlines,Alaska Airlines,Boeing 737,157,2,39,198,$74,"$11,615",9
Alitalia,Alitalia,Airbus A300,,,14,14,$75,$0,
Alitalia,Alitalia,Airbus A319,22,,,22,$90,"$1,971",9.7
Alitalia,Alitalia,Airbus A320,44,,10,54,$98,"$4,312",9.9
Alitalia,Alitalia,Airbus A321,12,,11,23,$115,"$1,379",19.4
Alitalia,Alitalia,Airbus A330,14,,,14,$240,"$3,360",7.6
Alitalia,Alitalia,Boeing 737,,,2,2,$74,$0,
Alitalia,Alitalia,Boeing 747,,,21,21,$316,$0,
Alitalia,Alitalia,Boeing 767,,,14,14,$187,$0,
Alitalia,Alitalia,Boeing 777,11,,,11,$295,"$3,240",13.6
Alitalia,Alitalia,McDonnell Douglas MD-11,,,8,8,$175,$0,
All Nippon Airways,Vanilla Air,Airbus A320,10,2,3,15,$98,$980,2
All Nippon Airways,ANA Wings,Boeing 737,18,,7,25,$74,"$1,332",19.6
All Nippon Airways,All Nippon Airways,Airbus A320,10,3,23,36,$98,$980,21.2
All Nippon Airways,All Nippon Airways,Airbus A321,2,2,7,11,$115,$230,0.1
All Nippon Airways,All Nippon Airways,Airbus A380,,,,,$433,$0,
All Nippon Airways,All Nippon Airways,Boeing 737,43,,44,87,$74,"$3,181",5.5
All Nippon Airways,All Nippon Airways,Boeing 747,,,46,46,$316,$0,
All Nippon Airways,All Nippon Airways,Boeing 767,49,,50,99,$187,"$9,158",15.7
All Nippon Airways,All Nippon Airways,Boeing 777,55,,2,57,$295,"$16,200",12
Allegiant Air,Allegiant Air,Airbus A319,17,6,,23,$90,"$1,523",11.5
Allegiant Air,Allegiant Air,Airbus A320,16,,,16,$98,"$1,568",17.1
Allegiant Air,Allegiant Air,Boeing 757,4,,2,6,$73,$290,23.6
American Airlines,American Airlines,Airbus A300,,,35,35,$75,$0,
American Airlines,American Airlines,Airbus A319,125,,,125,$90,"$11,200",12.8
American Airlines,American Airlines,Airbus A320,51,,17,68,$98,"$4,998",15.5
American Airlines,American Airlines,Airbus A321,197,12,,209,$115,"$22,635",4.9
American Airlines,American Airlines,Airbus A330,24,,,24,$240,"$5,760",9.3
American Airlines,American Airlines,Boeing 717,,,29,29,$37,$0,
American Airlines,American Airlines,Boeing 737,282,4,46,332,$74,"$20,862",7.7
American Airlines,American Airlines,Boeing 747,,,19,19,$316,$0,
American Airlines,American Airlines,Boeing 757,51,,126,177,$73,"$3,698",17.9
American Airlines,American Airlines,Boeing 767,33,,74,107,$187,"$6,168",19.9
American Airlines,American Airlines,Boeing 777,67,,,67,$295,"$19,735",12.1
American Airlines,American Airlines,McDonnell Douglas MD-11,,,19,19,$175,$0,
American Airlines,American Airlines,McDonnell Douglas MD-90,,,5,5,$45,$0,
Asiana Airlines,Asiana Airlines,Airbus A320,7,,4,11,$98,$686,9.3
Asiana Airlines,Air Busan,Airbus A320,6,,,6,$98,$588,10.9
Asiana Airlines,Asiana Airlines,Airbus A321,23,,17,40,$115,"$2,643",5.7
Asiana Airlines,Air Seoul,Airbus A321,3,,,3,$115,$345,3.8
Asiana Airlines,Air Busan,Airbus A321,12,,,12,$115,"$1,379",13.5
Asiana Airlines,Asiana Airlines,Airbus A330,15,,,15,$240,"$3,600",7.3
Asiana Airlines,Asiana Airlines,Airbus A350,,1,,1,$312,$0,
Asiana Airlines,Asiana Airlines,Airbus A380,5,1,,6,$433,"$2,163",2
Asiana Airlines,Asiana Airlines,Boeing 737,,,34,34,$74,$0,
Asiana Airlines,Air Busan,Boeing 737,,,7,7,$74,$0,
Asiana Airlines,Asiana Airlines,Boeing 747,14,,4,18,$316,"$4,421",20.9
Asiana Airlines,Asiana Airlines,Boeing 767,8,,11,19,$187,"$1,495",20.3
Asiana Airlines,Asiana Airlines,Boeing 777,11,,2,13,$295,"$3,240",10.1
Atlas Air,Atlas Air,Boeing 737,,,1,1,$74,$0,
Atlas Air,Atlas Air,Boeing 747,32,,45,77,$316,"$10,106",14.1
Atlas Air,Atlas Air,Boeing 757,,,1,1,$73,$0,
Atlas Air,Atlas Air,Boeing 767,25,,1,26,$187,"$4,673",24.1
Azul,Azul,Airbus A320,4,4,,8,$98,$392,0.1
Azul,Azul,Airbus A330,5,,2,7,$240,"$1,200",14.1
Cathay Pacific,Air Hong Kong,Airbus A300,10,,2,12,$75,$750,14
Cathay Pacific,Cathay Dragon,Airbus A320,15,,,15,$98,"$1,470",11.6
Cathay Pacific,Cathay Dragon,Airbus A321,8,,,8,$115,$919,14.2
Cathay Pacific,Cathay Pacific,Airbus A330,42,,13,55,$240,"$10,080",8.9
Cathay Pacific,Cathay Dragon,Airbus A330,19,,,19,$240,"$4,560",16.9
Cathay Pacific,Cathay Pacific,Airbus A340,4,,21,25,$216,$862,19
Cathay Pacific,Cathay Pacific,Boeing 747,21,,63,84,$316,"$6,632",5.9
Cathay Pacific,Air Hong Kong,Boeing 747,3,,8,11,$316,$947,25.8
Cathay Pacific,Cathay Pacific,Boeing 777,70,,,70,$295,"$20,619",8
China Airlines,China Airlines,Airbus A300,,,20,20,$75,$0,
China Airlines,Tigerair Taiwan (80%),Airbus A320,9,1,,10,$98,$882,2.3
China Airlines,China Airlines,Airbus A320,,,2,2,$98,$0,
China Airlines,China Airlines,Airbus A330,24,,2,26,$240,"$5,760",9
China Airlines,China Airlines,Airbus A340,4,,3,7,$216,$862,14.9
China Airlines,Mandarin Airlines (93.99%),Airbus A340,,,1,1,$216,$0,
China Airlines,China Airlines,Boeing 737,22,1,17,40,$74,"$1,628",8.9
China Airlines,Mandarin Airlines (93.99%),Boeing 737,1,,5,6,$74,$74,1.3
China Airlines,China Airlines,Boeing 747,25,,35,60,$316,"$7,895",13.6
China Airlines,Mandarin Airlines (93.99%),Boeing 747,,,5,5,$316,$0,
China Airlines,China Airlines,Boeing 767,,,2,2,$187,$0,
China Airlines,China Airlines,Boeing 777,10,,,10,$295,"$2,946",1.6
China Airlines,China Airlines,McDonnell Douglas MD-11,,,5,5,$175,$0,
China Airlines,Mandarin Airlines (93.99%),McDonnell Douglas MD-11,,,5,5,$175,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A300,,,13,13,$75,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A310,,,5,5,$75,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A319,36,,9,45,$90,"$3,226",4.1
China Eastern Airlines,China United Airlines,Airbus A319,,,3,3,$90,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A320,165,2,24,191,$98,"$16,170",6.8
China Eastern Airlines,China Eastern Airlines,Airbus A321,64,3,,67,$115,"$7,354",4.2
China Eastern Airlines,Shanghai Airlines,Airbus A321,,,4,4,$115,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A330,45,,6,51,$240,"$10,800",5.6
China Eastern Airlines,Shanghai Airlines,Airbus A330,6,,,6,$240,"$1,440",7
China Eastern Airlines,China Eastern Airlines,Airbus A340,,,10,10,$216,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A350,,,,,$312,$0,
China Eastern Airlines,China Eastern Airlines,Boeing 737,125,1,47,173,$74,"$9,248",4.9
China Eastern Airlines,China United Airlines,Boeing 737,32,1,11,44,$74,"$2,367",5.4
China Eastern Airlines,Shanghai Airlines,Boeing 737,75,,21,96,$74,"$5,549",5
China Eastern Airlines,China Cargo Airlines,Boeing 747,3,,2,5,$316,$947,13.2
China Eastern Airlines,China Cargo Airlines,Boeing 757,,,2,2,$73,$0,
China Eastern Airlines,Shanghai Airlines,Boeing 757,,,13,13,$73,$0,
China Eastern Airlines,China Eastern Airlines,Boeing 767,,,3,3,$187,$0,
China Eastern Airlines,Shanghai Airlines,Boeing 767,6,,1,7,$187,"$1,121",15.7
China Eastern Airlines,China Eastern Airlines,Boeing 777,16,,,16,$295,"$4,713",1.2
China Eastern Airlines,China Cargo Airlines,Boeing 777,6,,,6,$295,"$1,767",6.2
China Eastern Airlines,China Eastern Airlines,Boeing 787,,,,,$265,$0,
China Eastern Airlines,China Eastern Airlines,McDonnell Douglas MD-11,,,6,6,$175,$0,
China Eastern Airlines,China Cargo Airlines,McDonnell Douglas MD-11,,,9,9,$175,$0,
China Eastern Airlines,Shanghai Airlines,McDonnell Douglas MD-11,,,4,4,$175,$0,
China Eastern Airlines,China Eastern Airlines,McDonnell Douglas MD-90,,,9,9,$45,$0,
China Southern Airlines,China Southern Airlines,Airbus A300,,,6,6,$75,$0,
China Southern Airlines,China Southern Airlines,Airbus A319,34,,7,41,$90,"$3,046",10.6
China Southern Airlines,China Southern Airlines,Airbus A320,123,8,14,145,$98,"$12,054",7.3
China Southern Airlines,China Southern Airlines,Airbus A321,88,5,,93,$115,"$10,111",6.5
China Southern Airlines,China Southern Airlines,Airbus A330,38,1,,39,$240,"$9,120",5.8
China Southern Airlines,China Southern Airlines,Airbus A380,5,,,5,$433,"$2,163",5.1
China Southern Airlines,China Southern Airlines,Boeing 737,169,,65,234,$74,"$12,503",6.8
China Southern Airlines,China Southern Airlines,Boeing 747,2,,,2,$316,$632,14.4
China Southern Airlines,China Southern Airlines,Boeing 757,7,,24,31,$73,$508,17.8
China Southern Airlines,China Southern Airlines,Boeing 767,,,6,6,$187,$0,
China Southern Airlines,China Southern Airlines,Boeing 777,26,,6,32,$295,"$7,658",5.9
China Southern Airlines,China Southern Airlines,McDonnell Douglas MD-90,,,13,13,$45,$0,
Copa Airlines,Copa Airlines,Boeing 737,76,1,33,110,$74,"$5,622",6.3
Copa Airlines,Copa Airlines Colombia,Boeing 737,1,,,1,$74,$74,17.2
easyJet,easyJet,Airbus A319,133,,39,172,$90,"$11,917",9.6
easyJet,easyJet - Switzerland,Airbus A319,11,,22,33,$90,$986,5.5
easyJet,easyJet,Airbus A320,101,3,24,128,$98,"$9,898",3.6
easyJet,easyJet - Switzerland,Airbus A320,15,,,15,$98,"$1,470",5
easyJet,easyJet,Airbus A321,,,8,8,$115,$0,
easyJet,easyJet,Boeing 737,,,84,84,$74,$0,
easyJet,easyJet - Switzerland,Boeing 737,,,8,8,$74,$0,
easyJet,easyJet,Boeing 757,,,4,4,$73,$0,
Emirates,Emirates,Airbus A300,,,7,7,$75,$0,
Emirates,Emirates,Airbus A310,,,13,13,$75,$0,
Emirates,Emirates,Airbus A319,1,,,1,$90,$90,5.3
Emirates,Emirates,Airbus A330,,,29,29,$115,$0,
Emirates,Emirates,Airbus A340,,,18,18,$216,$0,
Emirates,Emirates,Airbus A380,87,15,,102,$433,"$37,636",3.7
Emirates,Emirates,Boeing 737,,,1,1,$74,$0,
Emirates,Emirates,Boeing 747,2,,4,6,$316,$632,9.2
Emirates,Emirates,Boeing 777,159,5,10,174,$295,"$46,833",6.4
Ethiopian Airlines,Ethiopian Airlines,Boeing 737,21,,9,30,$74,"$1,554",6.5
Ethiopian Airlines,Ethiopian Airlines,Boeing 757,3,,9,12,$73,$218,23.2
Ethiopian Airlines,Ethiopian Airlines,Boeing 767,6,,12,18,$187,"$1,121",14.4
Ethiopian Airlines,Ethiopian Airlines,Boeing 777,16,,,16,$295,"$4,713",3.6
Ethiopian Airlines,Ethiopian Airlines,McDonnell Douglas MD-11,,,3,3,$175,$0,
Etihad Airways,Etihad Airways,Airbus A300,,,3,3,$75,$0,
Etihad Airways,Etihad Airways,Airbus A310,,,1,1,$75,$0,
Etihad Airways,Etihad Airways,Airbus A319,2,,2,4,$90,$179,13.7
Etihad Airways,Etihad Airways,Airbus A320,23,,4,27,$98,"$2,254",6.6
Etihad Airways,Etihad Airways,Airbus A321,10,,,10,$115,"$1,149",1.8
Etihad Airways,Etihad Airways,Airbus A330,30,1,11,42,$240,"$7,200",8.1
Etihad Airways,Etihad Airways,Airbus A340,10,,3,13,$216,"$2,156",9
Etihad Airways,Etihad Airways,Airbus A380,8,1,,9,$433,"$3,461",1.7
Etihad Airways,Etihad Airways,Boeing 747,1,,1,2,$316,$316,17.7
Etihad Airways,Etihad Airways,Boeing 767,,,2,2,$187,$0,
Etihad Airways,Etihad Airways,Boeing 777,30,,5,35,$295,"$8,837",6.2
EVA Air,EVA Air,Airbus A320,,,1,1,$98,$0,
EVA Air,EVA Air,Airbus A321,22,,2,24,$115,"$2,528",2
EVA Air,Uni Air,Airbus A321,2,,,2,$115,$230,2.7
EVA Air,EVA Air,Airbus A330,10,2,6,18,$240,"$2,400",7.5
EVA Air,EVA Air,Boeing 747,9,,10,19,$316,"$2,842",19
EVA Air,EVA Air,Boeing 757,,,2,2,$73,$0,
EVA Air,Uni Air,Boeing 757,,,1,1,$73,$0,
EVA Air,EVA Air,Boeing 767,,,9,9,$187,$0,
EVA Air,EVA Air,Boeing 777,29,,,29,$295,"$8,542",5.3
EVA Air,EVA Air,Boeing 787,,,,,$265,$0,
EVA Air,EVA Air,McDonnell Douglas MD-11,,,12,12,$175,$0,
EVA Air,EVA Air,McDonnell Douglas MD-90,,,7,7,$45,$0,
EVA Air,Uni Air,McDonnell Douglas MD-90,,,14,14,$45,$0,
Finnair,Finnair,Airbus A300,,,2,2,$75,$0,
Finnair,Finnair,Airbus A319,9,,2,11,$90,$806,15.5
Finnair,Finnair,Airbus A320,10,,2,12,$98,$980,14.4
Finnair,Finnair,Airbus A321,11,1,,12,$115,"$1,264",10
Finnair,Finnair,Airbus A330,8,,,8,$240,"$1,920",7.2
Finnair,Finnair,Airbus A340,2,,5,7,$216,$431,9
Finnair,Finnair,Boeing 737,,,2,2,$74,$0,
Finnair,Finnair,Boeing 757,,,7,7,$73,$0,
Finnair,Finnair,McDonnell Douglas MD-11,,,7,7,$175,$0,
Flybe,Flybe,Boeing 737,,,4,4,$74,$0,
Flybe,Flybe,De Havilland Canada DHC-6 Twin Otter,1,,,1,$7,$7,36.9
Flybe,Flybe,Saab 2000,3,,,3,$12,$36,22.4
Frontier Airlines,Frontier Airlines,Airbus A318,,,11,11,$66,$0,
Frontier Airlines,Frontier Airlines,Airbus A319,23,,30,53,$90,"$2,061",11.9
Frontier Airlines,Frontier Airlines,Airbus A320,28,7,1,36,$98,"$2,744",5.7
Frontier Airlines,Frontier Airlines,Airbus A321,13,2,,15,$115,"$1,494",0.7
Frontier Airlines,Frontier Airlines,Boeing 737,,,42,42,$74,$0,
Garuda Indonesia,Garuda Indonesia,Airbus A300,,,22,22,$75,$0,
Garuda Indonesia,Citilink,Airbus A320,41,5,,46,$98,"$4,018",4.6
Garuda Indonesia,Garuda Indonesia,Airbus A330,24,,30,54,$240,"$5,760",7.1
Garuda Indonesia,Garuda Indonesia,Airbus A340,,,3,3,$216,$0,
Garuda Indonesia,Garuda Indonesia,Boeing 737,74,,75,149,$74,"$5,475",5.3
Garuda Indonesia,Citilink,Boeing 737,4,,14,18,$74,$296,19.1
Garuda Indonesia,Garuda Indonesia,Boeing 747,2,,61,63,$316,$632,22.8
Garuda Indonesia,Garuda Indonesia,Boeing 767,,,19,19,$187,$0,
Garuda Indonesia,Garuda Indonesia,Boeing 777,10,,4,14,$295,"$2,946",2.3
Garuda Indonesia,Garuda Indonesia,McDonnell Douglas MD-11,,,18,18,$175,$0,
Hainan Airlines,Lucky Air (86.68%),Airbus A319,3,,,3,$90,$269,11
Hainan Airlines,Capital Airlines (70%),Airbus A319,19,,10,29,$90,"$1,702",8.6
Hainan Airlines,Hainan Airlines,Airbus A319,,,6,6,$90,$0,
Hainan Airlines,Lucky Air (86.68%),Airbus A320,7,1,,8,$98,$686,4
Hainan Airlines,Capital Airlines (70%),Airbus A320,34,,,34,$98,"$3,332",3.8
Hainan Airlines,Capital Airlines (70%),Airbus A321,11,,,11,$115,"$1,264",0.8
Hainan Airlines,Hainan Airlines,Airbus A330,22,,6,28,$240,"$5,280",4.2
Hainan Airlines,Capital Airlines (70%),Airbus A330,4,4,,8,$240,$960,7.5
Hainan Airlines,Hainan Airlines,Airbus A340,,,3,3,$216,$0,
Hainan Airlines,Hainan Airlines,Boeing 737,126,2,45,173,$74,"$9,321",5.5
