Name,IATA,ICAO,Country
yunnan airlines,3Q,CYH,China
cimber air,QI,CIM,Denmark
cirrus airlines,C9,RUS,Germany
city airline,CF,SDR,Sweden
city connexion airlines,G3,CIX,Burundi
cityjet,WX,BCY,Ireland
ba cityflyer,CJ,CFE,United Kingdom
click airways,,CGK,Kyrgyzstan
coastal air,DQ,,United States
colgan air,9L,CJC,United States
comair,OH,COM,United States
comair,MN,CAW,South Africa
commutair,C5,UCA,United States
comores airlines,KR,CWK,Comoros
compass airlines,CP,CPZ,United States
condor flugdienst,DE,CFG,Germany
consorcio aviaxsa,6A,CHP,Mexico
contact air,C3,KIS,Germany
continental airlines,CO,COA,United States
continental express,CO,,United States
continental micronesia,CS,CMI,United States
conviasa,V0,VCV,Venezuela
copa airlines,CM,CMP,Panama
copterline,,AAQ,Finland
corendon airlines,,CAI,Turkey
corsairfly,SS,CRL,France
corse-mediterranee,XK,CCM,France
crest aviation,,CAN,United Kingdom
croatia airlines,OU,CTN,Croatia
crown airways,,CRO,United States
cubana de aviación,CU,CUB,Cuba
cyprus airways,CY,CYP,Cyprus
cyprus turkish airlines,YK,,Turkey
czech airlines,OK,CSA,Czech Republic
dat danish air transport,DX,DTR,Denmark
daallo airlines,D3,DAO,Djibouti
dalavia,H8,KHB,Russia
darwin airline,0D,DWT,Switzerland
delta aerotaxi,,DEA,Italy
delta air lines,DL,DAL,United States
denim air,,DNM,Netherlands
deutsche bahn,2A,,Germany
djibouti airlines,D8,DJB,Djibouti
dniproavia,,UDN,Ukraine
dominicana de aviaci,DO,DOA,Dominican Republic
domodedovo airlines,E3,DMO,Russia
donbassaero,5D,UDC,Ukraine
dragonair,KA,HDA,DRAGON
druk air,KB,DRK,Bhutan
dubrovnik air,,DBK,Croatia
dutch antilles express,,DNL,Netherlands Antilles
dba,DI,BAG,Germany
eva air,BR,EVA,Taiwan
eagle air,H7,,Uganda
east african,QU,UGX,Uganda
eastern airways,T3,EZE,United Kingdom
eastland air,DK,ELA,Australia
ecuavia,,ECU,Ecuador
edelweiss air,WK,EDW,Switzerland
egyptair,MS,MSR,Egypt
el al israel airlines,LY,ELY,Israel
el-buraq air transport,UZ,BRQ,Libya
emirates,EK,UAE,United Arab Emirates
empresa ecuatoriana de aviacion,EU,EEA,Ecuador
eritrean airlines,B8,ERT,Eritrea
estonian air,OV,ELL,Estonia
ethiopian airlines,ET,ETH,Ethiopia
etihad airways,EY,ETD,United Arab Emirates
euro exec express,RZ,,Sweden
eurocypria airlines,UI,ECA,Cyprus
eurofly service,GJ,EEU,Italy
eurolot,K2,ELO,Poland
european air express,EA,EAL,Germany
eurowings,EW,EWG,Germany
evergreen international airlines,EZ,EIA,United States
excel airways,JN,XLA,United Kingdom
excel charter,,XEL,United Kingdom
express one international,EO,LHN,United States
expressjet,XE,BTA,United States
easyjet,U2,EZY,United Kingdom
far eastern air transport,EF,EFA,Taiwan
finnair,AY,FIN,Finland
finncomm airlines,FC,WBA,Finland
firefly,FY,FFM,Malaysia
first air,7F,FAB,Canada
first choice airways,DP,FCA,United Kingdom
flightline,B5,FLT,United Kingdom
florida west international airways,RF,FWL,United States
airasia x,D7,XAX,Malaysia
flylal,TE,LIL,Lithuania
flynordic,LF,NDC,Sweden
flybaboo,F7,BBO,Switzerland
flybe,BE,BEE,United Kingdom
flyglobespan,B4,GSM,United Kingdom
flyhy cargo airlines,,FYH,Thailand
formosa airlines,VY,FOS,Taiwan
freedom air,FP,FRE,United States
freedom airlines,,FRL,United States
frontier airlines,F9,FFT,United States
frontier flying service,2F,FTA,United States
gb airways,GT,GBL,United Kingdom
garuda indonesia,GA,GIA,Indonesia
gazpromavia,4G,GZP,Russia
georgian airways,A9,TGZ,Georgia
georgian national airlines,QB,GFG,Georgia
germania,ST,GMI,Germany
germanwings,4U,GWI,Germany
ghana international airlines,G0,GHB,Ghana
go air,G8,GOW,India
gojet airlines,G7,GJS,United States
gol transportes aéreos,G3,GLO,Brazil
golden air,DC,GAO,Sweden
great lakes airlines,ZK,GLA,United States
grupo taca,TA,TAT,Costa Rica
gulf air,,GFA,Oman
gulf air bahrain,GF,GBA,Bahrain
gulfstream international airlines,,GFT,United States
hageland aviation services,H6,HAG,United States
hainan airlines,HU,CHH,China
haiti ambassador airlines,2T,HAM,Haiti
hamburg international,4R,HHI,Germany
tuifly,X3,HLX,Germany
hapagfly,HF,HLF,Germany
hawaiian airlines,HA,HAL,United States
hawkair,BH,,Canada
heli france,8H,HFR,France
helijet,JB,JBA,Canada
hellas jet,T4,HEJ,Greece
hello,HW,FHE,Switzerland
helvetic airways,2L,OAW,Switzerland
hex'air,UD,HER,France
highland airways,,HWY,United Kingdom
hokkaido international airlines,HD,ADO,Japan
hong kong airlines,HX,CRK,Hong Kong SAR of China
hong kong express airways,UO,HKE,Hong Kong SAR of China
horizon air,QX,QXE,United States
horizon airlines,BN,HZA,Australia
iberia airlines,IB,IBE,Spain
iberworld,TY,IWD,Spain
ibex airlines,FW,IBX,Japan
icar air,,RAC,Bosnia and Herzegovina
icelandair,FI,ICE,Iceland
imair airlines,IK,ITX,Azerbaijan
indigo airlines,6E,IGO,India
indian airlines,IC,IAC,India
indigo,I9,IBU,United States
indonesia airasia,QZ,AWQ,Indonesia
indonesian airlines,IO,IAA,Indonesia
interair south africa,D6,ILN,South Africa
interavia airlines,ZA,SUW,Russia
interlink airlines,ID,ITK,South Africa
intersky,3L,ISK,Austria
iran air,IR,IRA,Iran
iran aseman airlines,EP,IRC,Iran
iraqi airways,IA,IAW,Iraq
island airlines,IS,,United States
cargo plus aviation,8L,CGP,United Arab Emirates
islas airways,IF,ISW,Spain
islena de inversiones,WC,ISV,Honduras
israir,6H,ISR,Israel
itek air,GI,IKA,Kyrgyzstan
jal express,JC,JEX,Japan
jalways,JO,JAZ,Japan
japan airlines,JL,JAL,Japan
japan airlines domestic,JL,JAL,Japan
japan asia airways,EG,JAA,Japan
japan transocean air,NU,JTA,Japan
jazeera airways,J9,JZR,Kuwait
jeju air,7C,JJA,Republic of Korea
jet airways,9W,JAI,India
jet airways,QJ,,United States
jetstar asia airways,3K,JSA,Singapore
jet2.com,LS,EXS,United Kingdom
jet4you,8J,JFU,Morocco
jetblue airways,B6,JBU,United States
jetairfly,JF,JAF,Belgium
jetflite,,JEF,Finland
jetstar airways,JQ,JST,Australia
juneyao airlines,HO,DKH,China
kd avia,KD,KNI,Russia
klm cityhopper,WA,KLC,Netherlands
klm royal dutch airlines,KL,KLM,Netherlands
kam air,RQ,KMF,Afghanistan
kavminvodyavia,KV,MVD,Russia
kendell airlines,,KDA,Australia
kenmore air,M5,KEN,United States
kenya airways,KQ,KQA,Kenya
kingfisher airlines,IT,KFR,India
kish air,Y9,IRK,Iran
kogalymavia air company,7K,KGL,Russia
korean air,KE,KAL,Republic of Korea
kosmos,,KSM,Russia
krasnojarsky airlines,7B,KJC,Russia
kuban airlines,GW,KIL,Russia
kuwait airways,KU,KAC,Kuwait
kuzu airlines cargo,GO,KZU,Turkey
lacsa,LR,LRC,Costa Rica
lan airlines,LA,LAN,Chile
lan argentina,4M,DSM,Argentina
lan express,LU,LXP,Chile
lan peru,LP,LPE,Peru
lot polish airlines,LO,LOT,Poland
lte international airways,XO,LTE,Spain
ltu austria,L3,LTO,Austria
lao airlines,QV,LAO,Lao Peoples Democratic Republic
latcharter,,LTC,Latvia
lauda air,NG,LDA,Austria
leeward islands air transport,LI,LIA,Antigua and Barbuda
libyan arab airlines,LN,LAA,Libya
linhas a,LM,LAM,Mozambique
lion mentari airlines,JT,LNI,Indonesia
luftfahrtgesellschaft walter,HE,LGW,Germany
lufthansa,LH,DLH,Germany
lufthansa cargo,LH,GEC,Germany
lufthansa cityline,CL,CLH,Germany
lufttransport,L5,LTR,Norway
luxair,LG,LGL,Luxembourg
l,MJ,LPR,Argentina
masair,M7,MAA,Mexico
mat macedonian airlines,IN,MAK,Macedonia
miat mongolian airlines,OM,MGL,Mongolia
mng airlines,MB,MNB,Turkey
macair airlines,CC,MCK,Australia
maersk,DM,,Denmark
mahan air,W5,IRM,Iran
malaysia airlines,MH,MAS,Malaysia
malmo aviation,,SCW,Sweden
malmö aviation,TF,SCW,Sweden
malta air charter,R5,MAC,Malta
malév,MA,MAH,Hungary
mandala airlines,RI,MDL,Indonesia
mandarin airlines,AE,MDA,Taiwan
mango,JE,MNO,South Africa
martinair,MP,MPH,Netherlands
maxair,8M,MXL,Sweden
maya island air,MW,MYD,Belize
meridiana,IG,ISS,Italy
merpati nusantara airlines,MZ,MNA,Indonesia
mesa airlines,YV,ASH,United States
mesaba airlines,XJ,MES,United States
mexicana de aviaci,MX,MXA,Mexico
middle east airlines,ME,MEA,Lebanon
midway airlines,JI,MDW,United States
midwest airlines,YX,MEP,United States
midwest airlines (egypt),MY,MWA,Egypt
moldavian airlines,2M,MDV,Moldova
monarch airlines,ZB,MON,United Kingdom
myway airlines,8I,,Italy
montenegro airlines,YM,MGX,Montenegro
morningstar air express,,MAL,Canada
moskovia airlines,3R,GAI,Russia
motor sich,M9,MSI,Ukraine
mytravel airways,VZ,MYT,United Kingdom
myanma airways,UB,UBA,Myanmar
myanmar airways international,8M,MMM,Myanmar
myflug,,MYA,Iceland
nasair,UE,NAS,Eritrea
national jet systems,NC,NJS,Australia
nationwide airlines,CE,NTW,South Africa
nauru air corporation,ON,RON,Nauru
nepal airlines,RA,RNA,Nepal
netjets,1I,EJA,United States
new england airlines,EJ,NEA,United States
nextjet,2N,NTJ,Sweden
niki,HG,NLY,Austria
nok air,DD,NOK,Thailand
norfolk county flight college,,NCF,United Kingdom
north american airlines,,NTM,Canada
north american charters,,HMR,Canada
northern dene airways,U7,,Canada
northwest airlines,NW,NWA,United States
northwestern air,J3,PLR,Canada
norwegian air shuttle,DY,NAX,Norway
norwegian aviation college,,TFN,Norway
nouvel air tunisie,BJ,LBT,Tunisia
novair,1I,NVR,Sweden
nas air,XY,KNE,Saudi Arabia
oasis hong kong airlines,O8,OHK,Hong Kong
ocean air,,BCN,Mauritania
oceanair,O6,ONE,Brazil
oceanic airlines,O2,,Guinea
olympic airlines,OA,OAL,Greece
oman air,WY,OMA,Oman
omni air international,OY,OAE,United States
one two go airlines,,OTG,Thailand
onur air,8Q,OHY,Turkey
orenburg airlines,R2,ORB,Russia
orient thai airlines,OX,OEA,Thailand
origin pacific airways,QO,OGN,New Zealand
ostfriesische lufttransport,OL,OLT,Germany
overland airways,OJ,OLA,Nigeria
ozjet airlines,O7,OZJ,Australia
pan air,PV,PNR,Spain
pb air,9Q,PBA,Thailand
pluna,PU,PUA,Uruguay
pmtair,U4,PMT,Cambodia
jetstar pacific,BL,PIC,Vietnam
pacific coastal airline,8P,PCO,Canada
pacific east asia cargo airlines,Q8,PEC,Philippines
pacific island aviation,,PSA,United States
pacific wings,LW,NMI,United States
pakistan international airlines,PK,PIA,Pakistan
paramount airways,I7,PMW,India
passaredo transportes aereos,,PTB,Brazil
pegasus airlines,PC,PGT,Turkey
peninsula airways,KS,PEN,United States
philippine airlines,PR,PAL,Philippines
piedmont airlines (1948-1989),PI,PDT,United States
pinnacle airlines,9E,FLG,United States
polet,,POT,Russia
polynesian airlines,PH,PAO,Samoa
porter airlines,PD,POE,Canada
portugalia,NI,PGA,Portugal
potomac air,BK,PDC,United States
precision air,PW,PRF,Tanzania
privatair,,PTI,Switzerland
proflight commuter services,P0,,Zambia
qantas,QF,QFA,Australia
qatar airways,QR,QTR,Qatar
racsa,R6,,Guatemala
kinloss flying training unit,,KIN,United Kingdom
regional airlines,FN,,Morocco
regional express,ZL,RXA,Australia
republic airlines,RW,RPA,United States
republic express airlines,RH,RPH,Indonesia
rossiya,R4,,Russia
air rarotonga,GZ,RAR,Cook Islands
royal air maroc,AT,RAM,Morocco
royal brunei airlines,BI,RBA,Brunei
royal jordanian,RJ,RJA,Jordan
royal nepal airlines,RA,RNA,Nepal
royal phnom penh airways,,PPW,Cambodia
rusline,,RLU,Russia
rwandair express,WB,RWD,Rwanda
ryan air services,,RYA,United States
ryan international airlines,RD,RYN,United States
ryanair,FR,RYR,Ireland
régional,YS,RAE,France
sata international,S4,RZO,Portugal
south african airways,SA,SAA,South Africa
shaheen air international,NL,SAI,Pakistan
scandinavian airlines system,SK,SAS,Sweden
scotairways,,SAY,United Kingdom
s7 airlines,S7,SBI,Russia
seaborne airlines,BB,SBS,United States
scenic airlines,,SCE,United States
srilankan airlines,UL,ALK,Sri Lanka
sun country airlines,SY,SCX,United States
southeast air,,SEA,United States
sky express,G3,SEH,Greece
spicejet,SG,SEJ,India
star flyer,7G,SFJ,Japan
skagway air service,N5,SGY,United States
sahara airlines,,SHD,Algeria
sata air acores,SP,SAT,Portugal
singapore airlines,SQ,SIA,Singapore
sibaviatrans,5M,SIB,Russia
skynet airlines,SI,SIH,Ireland
sriwijaya air,SJ,SJY,Indonesia
sama airlines,ZS,SMY,Saudi Arabia
singapore airlines cargo,SQ,SQC,Singapore
siem reap airways,FT,SRH,Cambodia
south east asian airlines,DG,SRQ,Philippines
skyservice airlines,5G,SSV,Canada
servicios de transportes a,FS,STU,Argentina
sudan airways,SD,SUD,Sudan
saudi arabian airlines,SV,SVA,Saudi Arabia
southwest airlines,WN,SWA,United States
southern winds airlines,A4,SWD,Argentina
swiss international air lines,LX,SWR,Switzerland
swissair,SR,SWR,Switzerland
swiss european air lines,,SWU,Switzerland
swe fly,WV,SWV,Sweden
sunexpress,XQ,SXS,Turkey
syrian arab airlines,RB,SYR,Syrian Arab Republic
skywalk airlines,AL,SYX,United States
shandong airlines,SC,CDG,China
sas braathens,,CNO,Norway
spring airlines,9S,CQH,China
sichuan airlines,3U,CSC,China
shanghai airlines,FM,CSH,China
shenzhen airlines,ZH,CSZ,China
sun d'or,7L,ERO,Israel
skyeurope,NE,ESK,Slovakia
sky europe airlines,,HSK,Slovakia
spanair,JK,JKK,Spain
spirit airlines,NK,NKS,United States
satena,9R,NSE,Colombia
skywest airlines,,OZW,Australia
santa barbara airlines,S3,BBR,Venezuela
sky airline,H2,SKU,Chile
skywest,OO,SKW,United States
skyways express,JZ,SKX,Sweden
skymark airlines,BC,SKY,Japan
silkair,MI,SLK,Singapore
surinam airways,PY,SLM,Suriname
sterling airlines,NB,SNB,Denmark
skynet asia airways,6J,SNJ,Japan
solomon airlines,IE,SOL,Solomon Islands
southern airways,,SOU,United States
saratov aviation division,6W,SOV,Russia
sat airlines,HZ,SOZ,Kazakhstan
south pacific island airways,,SPI,United States
shuttle america,S5,TCF,United States
scat air,DV,VSV,Kazakhstan
tame,EQ,TAE,Ecuador
tam brazilian airlines,JJ,TAM,Brazil
tap portugal,TP,TAP,Portugal
tunisair,TU,TAR,Tunisia
thai air cargo,T2,TCG,Thailand
thomas cook airlines,FQ,TCW,Belgium
thomas cook airlines,MT,TCX,United Kingdom
trigana air service,,TGN,Indonesia
tiger airways,TR,TGW,Singapore
tiger airways australia,TT,TGW,Australia
thai airways international,TG,THA,Thailand
turk hava kurumu hava taksi isletmesi,,THK,Turkey
thai airasia,FD,AIQ,Thailand
turkish airlines,TK,THY,Turkey
tajikistan international airlines,,TIL,Tajikistan
twin jet,T7,TJT,France
translift airways,,TLA,Ireland
trans mediterranean airlines,TL,TMA,Lebanon
tiara air,3P,TNM,Aruba
thomsonfly,BY,TOM,United Kingdom
tropic air,PM,TOS,Belize
tampa,QT,TPA,Colombia
transasia airways,GE,TNA,Taiwan
transavia holland,HV,TRA,Netherlands
tacv,VR,TCV,Portugal
transwest air,9T,ABS,Canada
transaero airlines,UN,TSO,Russia
turkmenistan airlines,T5,TUA,Turkmenistan
tuninter,UG,TUI,Tunisia
travel service,QS,TVS,Czech Republic
tuifly nordic,6B,BLX,Sweden
taag angola airlines,DT,DTA,Angola
turkish air force,,HVK,Turkey
tam mercosur,PZ,LAP,Paraguay
trans states airlines,AX,LOF,United States
tarom,RO,ROT,Romania
turan air,3T,URN,Azerbaijan
trip linhas a,8R,TIB,Brazil
usa3000 airlines,U5,GWY,United States
united airlines,UA,UAL,United States
united air charters,,UAC,Zimbabwe
ural airlines,U6,SVR,Russia
um airlines,UF,UKM,Ukraine
us airways,US,USA,United States
us helicopter,,USH,United States
utair aviation,UT,UTA,Russia
united states air force,,AIO,United States
uzbekistan airways,HY,UZB,Uzbekistan
ukraine international airlines,PS,AUI,Ukraine
us helicopter corporation,UH,,United States
valuair,VF,VLU,Singapore
vasco air,,VFC,Vietnam
vietnam airlines,VN,HVN,Vietnam
vim airlines,NN,MOV,Russia
volaris,Y4,VOI,Mexico
volga-dnepr airlines,VI,VDA,Russia
virgin america,VX,VRD,United States
virgin express,TV,VEX,Belgium
virgin nigeria airways,VK,VGN,Nigeria
virgin atlantic airways,VS,VIR,United Kingdom
viva macau,ZG,VVM,Macao
volare airlines,VE,VLE,Italy
vueling airlines,VY,VLG,Spain
vladivostok air,XF,VLK,Russia
varig log,LC,VLO,Brazil
virgin australia,VA,VOZ,Australia
vrg linhas aereas,RG,VRN,Brazil
vasp,VP,VSP,Brazil
vlm airlines,VG,VLM,Belgium
wayraper,7W,,Peru
webjet linhas a,WJ,WEB,Brazil
welcome air,2W,WLC,Austria
west coast air,8O,,Canada
westjet,WS,WJA,Canada
western airlines,WA,WAL,United States
widerøe,WF,WIF,Norway
wind jet,IV,JET,Italy
wings air,IW,WON,Indonesia
wizz air,W6,WZZ,Hungary
wizz air hungary,8Z,WVL,Bulgaria
world airways,WO,WOA,United States
xl airways france,SE,SEU,France
xiamen airlines,MF,CXA,China
yamal airlines,YL,LLM,Russia
yemenia,IY,IYE,Yemen
yuzhmashavia,,UMK,Ukraine
zanair,,TAN,Tanzania
zoom airlines,Z4,OOM,Canada
tyrolean airways,,TYR,
maldivian air taxi,8Q,,Maldives
sky express,XW,SXR,Russia
royal air cambodge,VJ,RAC,Cambodia
air mandalay,6T,,Burma
air busan,BX,ABL,Republic of Korea
globus,GH,GLP,Russia
air kazakhstan,9Y,KZK,Kazakhstan
japan air system,JD,JAS,Japan
easyjet (ds),DS,,Switzerland
star peru (2i),2I,,Peru
carnival air lines,KW,,United States
united airways,4H,UBD,Bangladesh
fly540,5H,FFV,Kenya
transavia france,TO,TVF,France
island air (wp),WP,MKU,United States
uni air,B7,UIA,Taiwan
gomelavia,YD,,Belarus
red wings,WZ,RWZ,Russia
tuifly (x3),11,,Germany
felix airways,FU,FXX,Yemen
kostromskie avialinii,K1,KOQ,Russia
greenfly,XX,GFY,Spain
tajik air,7J,,Tajikistan
air mozambique,TM,,Mozambique
elk airways,--,ELK,Estonia
gabon airlines,GY,GBK,Gabon
mca airlines,,MCA,Sweden
maldivo airlines,ML,MAV,Maldives
virgin pacific,VH,VNP,Fiji
zest air,Z2,,Philippines
yangon airways,HK,,Burma
eastar jet,ZE,ESR,South Korea
jin air,LJ,JNA,South Korea
wataniya airways,,KW1,Kuwait
air arabia maroc,3O,,Morocco
baltic air lines,B1,BA1,Latvia
ciel canadien,YC,YCC,Canada
canadian national airways,CN,YCP,Canada
epic holiday,FA,4AA,United States
indochina airlines,,AXC,Vietnam
